"Fecha","Open","High","Low","Close","Adj.Close","Volume"
2007-01-02,41842,42029,41774,42017,42017,552901600
2007-01-03,42045,42126,41935,42062,42062,690323000
2007-01-04,41878,41890,41682,41842,41842,682900500
2007-01-05,41779,41893,41597,41597,41597,688156500
2007-01-08,41739,41823,41451,41527,41527,651360800
2007-01-09,41680,41752,41566,41566,41566,678680800
2007-01-10,41382,41482,41234,41360,41360,707199700
2007-01-11,41506,41954,41394,41942,41942,695694000
2007-01-12,41930,42125,41881,42111,42111,673069600
2007-01-15,42290,42369,42240,42307,42307,516427200
2007-01-16,42305,42377,42090,42115,42115,559588000
2007-01-17,42151,42225,41605,41749,41749,620721200
2007-01-18,41899,42008,41647,41711,41711,559291100
2007-01-19,41715,42181,41615,42123,42123,781363900
2007-01-22,42328,42328,41983,42002,42002,759249300
2007-01-23,42069,42227,41881,42106,42106,634720500
2007-01-24,42251,42587,42231,42566,42566,711641000
2007-01-25,42616,42720,42322,42457,42457,670857500
2007-01-26,42243,42403,42091,42184,42184,619616800
2007-01-29,42219,42384,42149,42259,42259,665595100
2007-01-30,42189,42324,42027,42290,42290,771509500
2007-01-31,42278,42407,42180,42197,42197,659200000
2007-02-01,42505,42595,42457,42461,42461,640363800
2007-02-02,42596,42708,42546,42596,42596,678892300
2007-02-05,42570,42761,42503,42696,42696,692612200
2007-02-06,42732,42838,42558,42617,42617,589286200
2007-02-07,42686,42881,42659,42868,42868,528939900
2007-02-08,42885,42924,42417,42487,42487,618359800
2007-02-09,42636,42805,42636,42744,42744,492118100
2007-02-12,42616,42640,42420,42451,42451,806102700
2007-02-13,42590,42659,42491,42650,42650,717652100
2007-02-14,42764,42920,42712,42898,42898,708423700
2007-02-15,42975,42975,42761,42876,42876,661186800
2007-02-16,42859,42962,42798,42879,42879,774942000
2007-02-19,42943,43020,42873,42993,42993,629768500
2007-02-20,42986,42993,42430,42647,42647,695895100
2007-02-21,42717,42809,42205,42303,42303,725583500
2007-02-22,42417,42706,42417,42493,42493,683387600
2007-02-23,42584,42627,42378,42500,42500,695520200
2007-02-26,42580,42893,42580,42849,42849,485991200
2007-02-27,42621,42621,41608,41616,41616,957650000
2007-02-28,40946,41575,40918,41155,41155,1153989600
2007-03-01,41156,41483,40051,40686,40686,1295211900
2007-03-02,40720,40895,40255,40574,40574,951466300
2007-03-05,39858,40286,39778,40157,40157,953086300
2007-03-06,40505,40565,40299,40374,40374,859788500
2007-03-07,40528,40528,40235,40370,40370,784861500
2007-03-08,40569,40919,40523,40897,40897,732247800
2007-03-09,40855,41017,40569,40882,40882,864137100
2007-03-12,41058,41117,40613,40697,40697,762157500
2007-03-13,40756,40869,40277,40277,40277,968802100
2007-03-14,39745,39802,39290,39290,39290,1075366100
2007-03-15,39912,39917,39495,39916,39916,1064766900
2007-03-16,39955,40048,39522,39868,39868,1121714600
2007-03-19,40129,40480,40083,40480,40480,760218800
2007-03-20,40453,40519,40169,40519,40519,694130900
2007-03-21,40551,40794,40450,40719,40719,717351500
2007-03-22,41260,41568,41146,41547,41547,913753800
2007-03-23,41459,41839,41384,41816,41816,711513500
2007-03-26,41808,41908,41205,41343,41343,691446300
2007-03-27,41577,41625,41337,41337,41337,522881100
2007-03-28,41230,41365,41089,41201,41201,624367500
2007-03-29,41401,41766,41401,41766,41766,497497900
2007-03-30,41774,41970,41627,41771,41771,556074400
2007-04-02,41831,42019,41688,41990,41990,1755125900
2007-04-03,42240,42440,42181,42398,42398,1152447500
2007-04-04,42489,42494,42269,42412,42412,1218650500
2007-04-05,42433,42513,42347,42463,42463,915994300
2007-04-10,42553,42926,42464,42892,42892,895429400
2007-04-11,42888,43104,42720,42805,42805,894096700
2007-04-12,42777,42834,42538,42756,42756,742406600
2007-04-13,42856,43016,42709,43016,43016,1189409300
2007-04-16,43092,43451,43092,43440,43440,1073028000
2007-04-17,43310,43536,43158,43476,43476,1300358500
2007-04-18,43515,43515,43071,43286,43286,1084909500
2007-04-19,42916,43049,42791,42974,42974,1153304500
2007-04-20,43287,43691,43231,43549,43549,1054126200
2007-04-23,43477,43550,43379,43466,43466,650438300
2007-04-24,43467,43531,43156,43303,43303,816685200
2007-04-25,43418,43850,43418,43755,43755,773828000
2007-04-26,43991,43998,43708,43844,43844,952479900
2007-04-27,43852,43882,43514,43642,43642,1240733800
2007-04-30,43667,43890,43667,43755,43755,897579100
2007-05-02,43934,44030,43721,43836,43836,1155233600
2007-05-03,44024,44024,43560,43685,43685,1150469800
2007-05-04,43778,44025,43717,43973,43973,931724600
2007-05-07,44034,44061,43801,43948,43948,517510400
2007-05-08,43917,43917,43353,43630,43630,1222926500
2007-05-09,43838,43992,43681,43855,43855,916515700
2007-05-10,43984,44020,43433,43433,43433,932108700
2007-05-11,43257,43625,43061,43590,43590,1179893800
2007-05-14,43947,43947,43538,43629,43629,1060638200
2007-05-15,43534,44022,43502,44022,44022,1640812300
2007-05-16,43958,44015,43768,43802,43802,1358722300
2007-05-17,43802,44003,43802,43964,43964,1339560200
2007-05-18,44054,44364,44024,44364,44364,763471800
2007-05-21,43744,43744,43475,43495,43495,1145667600
2007-05-22,43598,43623,43116,43328,43328,1054294800
2007-05-23,43316,43645,43316,43567,43567,883626500
2007-05-24,43372,43447,42940,42940,42940,1144250800
2007-05-25,42835,43055,42748,43019,43019,1132341200
2007-05-28,43073,43217,42923,43166,43166,391565500
2007-05-29,43216,43226,42949,42966,42966,848084800
2007-05-30,42740,42964,42458,42964,42964,895659700
2007-05-31,43252,43308,43040,43079,43079,830578700
2007-06-01,43183,43243,42934,43010,43010,840786100
2007-06-04,42959,43056,42477,42726,42726,846325100
2007-06-05,42829,43076,42807,42931,42931,901960100
2007-06-06,42915,43021,42274,42307,42307,827548700
2007-06-07,42532,42532,41878,41926,41926,1064175700
2007-06-08,41764,41949,41520,41712,41712,1153425400
2007-06-11,42054,42054,41734,41874,41874,767184200
2007-06-12,41804,41960,41527,41683,41683,1222528300
2007-06-13,41529,42005,41448,41930,41930,1059886300
2007-06-14,42272,42631,42220,42597,42597,841354000
2007-06-15,42768,43120,42668,43099,43099,1272408600
2007-06-18,42851,42936,42630,42719,42719,670781900
2007-06-19,42771,42962,42754,42845,42845,704491200
2007-06-20,43015,43082,42719,42769,42769,801867600
2007-06-21,42529,42706,42195,42407,42407,868665200
2007-06-22,42483,42559,42151,42154,42154,679721700
2007-06-25,41922,42161,41767,42114,42114,640870900
2007-06-26,41892,41902,41584,41624,41624,797514500
2007-06-27,41506,41507,41269,41439,41439,751016900
2007-06-28,41750,41857,41640,41704,41704,556859300
2007-06-29,41820,41986,41639,41954,41954,536915100
2007-07-02,41954,42040,41709,41987,41987,512692600
2007-07-03,42183,42409,42183,42372,42372,496657200
2007-07-04,42449,42522,42391,42408,42408,377681900
2007-07-05,42523,42523,41961,42043,42043,549041000
2007-07-06,42022,42337,42022,42279,42279,503922000
2007-07-09,42407,42552,42368,42545,42545,499480100
2007-07-10,42550,42735,42003,42039,42039,733503700
2007-07-11,41773,41891,41531,41795,41795,721308900
2007-07-12,41915,42140,41671,42140,42140,576720700
2007-07-13,42472,42506,42167,42293,42293,556604300
2007-07-16,42321,42428,42224,42367,42367,451309700
2007-07-17,42269,42293,41911,42106,42106,583226500
2007-07-18,41808,42118,41685,41755,41755,640814900
2007-07-19,41982,42164,41861,42121,42121,626252300
2007-07-20,42118,42226,41473,41473,41473,720681100
2007-07-23,41517,41757,41320,41757,41757,540896300
2007-07-24,41659,41761,40966,40966,40966,703402100
2007-07-25,40703,41045,40286,40503,40503,812798500
2007-07-26,40710,40791,39671,39671,39671,1017145000
2007-07-27,39360,40039,39360,39581,39581,991863300
2007-07-30,39686,39834,39394,39539,39539,818735200
2007-07-31,39861,40266,39852,40221,40221,916134500
2007-08-01,39416,39774,39168,39401,39401,881638900
2007-08-02,39718,39785,39451,39710,39710,763569400
2007-08-03,39817,39915,39267,39375,39375,668862200
2007-08-06,39025,39400,38971,39116,39116,610999900
2007-08-07,39542,39862,39427,39862,39862,638848500
2007-08-08,40075,40670,39971,40645,40645,808607100
2007-08-09,40474,40528,39893,40056,40056,953266200
2007-08-10,39459,39728,38739,38994,38994,1195589200
2007-08-13,39390,39644,39154,39573,39573,637822400
2007-08-14,39262,39816,39136,39247,39247,577058200
2007-08-16,38345,38723,37921,37921,37921,1081647500
2007-08-17,37631,39138,37568,38712,38712,1223077800
2007-08-20,39077,39146,38875,38909,38909,682507400
2007-08-21,39015,39153,38675,38953,38953,658341800
2007-08-22,39082,39644,39082,39590,39590,735782200
2007-08-23,39882,39970,39644,39709,39709,611609500
2007-08-24,39509,40083,39509,39954,39954,477323200
2007-08-27,40088,40100,39850,39936,39936,359491700
2007-08-28,39873,39920,39114,39158,39158,636575500
2007-08-29,38934,39580,38862,39492,39492,866745300
2007-08-30,39778,39888,39304,39842,39842,686601700
2007-08-31,40076,40324,39903,40187,40187,636818800
2007-09-03,40286,40315,40116,40281,40281,346361900
2007-09-04,40236,40359,39978,40324,40324,603195300
2007-09-05,40210,40210,39309,39347,39347,775039000
2007-09-06,39549,39661,38996,39435,39435,764516700
2007-09-07,39304,39486,38494,38494,38494,967448200
2007-09-10,38583,38910,38251,38407,38407,781873400
2007-09-11,38706,38931,38543,38854,38854,706624600
2007-09-12,38886,39061,38603,39004,39004,728948200
2007-09-13,38961,39431,38694,39370,39370,721481900
2007-09-14,39215,39277,38755,39058,39058,697521400
2007-09-17,38909,38909,38420,38684,38684,616639400
2007-09-18,38474,39436,38474,39381,39381,728941600
2007-09-19,40222,40422,39980,40294,40294,1012181900
2007-09-20,40046,40150,39872,39980,39980,659002200
2007-09-21,39930,40161,39912,39970,39970,798891600
2007-09-24,39891,40187,39875,40019,40019,520197500
2007-09-25,39811,39920,39503,39731,39731,616912800
2007-09-26,39898,40184,39891,40071,40071,565560400
2007-09-27,40363,40375,40004,40059,40059,657696200
2007-09-28,40040,40040,39682,39889,39889,734096300
2007-10-01,39789,40437,39751,40417,40417,648656000
2007-10-02,40605,40675,40349,40441,40441,814856600
2007-10-03,40452,40492,40263,40423,40423,714446700
2007-10-04,40278,40669,40228,40577,40577,670633700
2007-10-05,40645,40870,40548,40800,40800,642097300
2007-10-08,40877,40892,40668,40681,40681,496775900
2007-10-09,40687,41158,40632,41074,41074,769702100
2007-10-10,41128,41135,40810,40913,40913,600958200
2007-10-11,40951,41157,40937,41024,41024,719053000
2007-10-12,40755,41106,40597,41106,41106,818756100
2007-10-15,40990,41041,40530,40547,40547,773187700
2007-10-16,40422,40456,40170,40414,40414,839482200
2007-10-17,40425,40528,40160,40259,40259,706468300
2007-10-18,40151,40259,39748,39903,39903,660557100
2007-10-19,39744,40132,39744,39888,39888,700620900
2007-10-22,39186,39356,38998,39242,39242,726435900
2007-10-23,39477,39602,39395,39423,39423,788490300
2007-10-24,39405,39650,39163,39280,39280,781019000
2007-10-25,39512,40019,39455,39775,39775,1027313300
2007-10-26,39911,40099,39517,40020,40020,862758100
2007-10-29,40300,40398,40053,40165,40165,661987400
2007-10-30,40107,40238,40034,40163,40163,646967600
2007-10-31,40186,40512,40129,40512,40512,644967000
2007-11-01,40544,40611,39548,39712,39712,686936200
2007-11-02,39451,39860,39438,39706,39706,722243100
2007-11-05,39408,39599,39283,39455,39455,601301300
