"Fecha","Open","High","Low","Close","Adj.Close","Volume"
2007-01-03,8889.5,8922,8869.2998046875,8920.2001953125,8920.2001953125,67381600
2007-01-04,8880.7998046875,8925.2001953125,8865.900390625,8925.2001953125,8925.2001953125,69011800
2007-01-05,8917.7001953125,8949,8899.400390625,8900.2001953125,8900.2001953125,66975800
2007-01-08,8917.400390625,8932.400390625,8837,8850.2998046875,8850.2998046875,61637200
2007-01-09,8893.599609375,8920.400390625,8874,8874,8874,55593000
2007-01-10,8846.599609375,8874.400390625,8814.599609375,8861.599609375,8861.599609375,63554400
2007-01-11,8906.5,8987.900390625,8885,8987.900390625,8987.900390625,74392400
2007-01-12,8979.099609375,9032.7998046875,8967.599609375,9032.7998046875,9032.7998046875,67872400
2007-01-15,9063.400390625,9112.900390625,9048.2998046875,9101.7001953125,9101.7001953125,52641800
2007-01-16,9104,9115.099609375,9067.2998046875,9073,9073,49699200
2007-01-17,9080.400390625,9119,9064,9104.599609375,9104.599609375,56226400
2007-01-18,9116.7998046875,9151.2001953125,9074.7001953125,9099.2998046875,9099.2998046875,62533400
2007-01-19,9077.2001953125,9155.099609375,9054.2998046875,9155.099609375,9155.099609375,81031200
2007-01-22,9154.5,9182.099609375,9085.2001953125,9102.2001953125,9102.2001953125,64020400
2007-01-23,9104.5,9147.599609375,9070.900390625,9105.5,9105.5,80638200
2007-01-24,9135.2998046875,9155.7998046875,9116.400390625,9153.099609375,9153.099609375,60854200
2007-01-25,9183.7001953125,9200.7998046875,9114.900390625,9134.099609375,9134.099609375,66832200
2007-01-26,9109.2001953125,9114.2998046875,9041.099609375,9041.099609375,9041.099609375,71285800
2007-01-29,9045.2998046875,9128.2001953125,9022.900390625,9110.7998046875,9110.7998046875,55232000
2007-01-30,9106.099609375,9148.7001953125,9091.900390625,9147,9147,51995400
2007-01-31,9132,9159.2998046875,9092.5,9135.099609375,9135.099609375,64505200
2007-02-01,9205.599609375,9252.5,9200.7001953125,9217.900390625,9217.900390625,74199200
2007-02-02,9230.7001953125,9264.400390625,9226.2001953125,9260.5,9260.5,62193400
2007-02-05,9249.599609375,9261.2998046875,9225.2998046875,9257.900390625,9257.900390625,49954000
2007-02-06,9259.2998046875,9303.2001953125,9259.2998046875,9266.2001953125,9266.2001953125,51029000
2007-02-07,9271.900390625,9288.2001953125,9235.099609375,9288.2001953125,9288.2001953125,62206800
2007-02-08,9292,9301.2001953125,9201.7001953125,9229.2998046875,9229.2998046875,90126200
2007-02-09,9268.5,9309.400390625,9260.400390625,9292.099609375,9292.099609375,55549000
2007-02-12,9247.900390625,9272.599609375,9227.2998046875,9261.599609375,9261.599609375,56875800
2007-02-13,9273.7001953125,9287.599609375,9231.099609375,9240,9240,78439000
2007-02-14,9275.7998046875,9299.2001953125,9231.7998046875,9299.2001953125,9299.2001953125,75720200
2007-02-15,9332,9335.7001953125,9262.2998046875,9305.400390625,9305.400390625,111212300
2007-02-16,9279.5,9337,9272,9336.2998046875,9336.2998046875,85844200
2007-02-19,9338.400390625,9376.7001953125,9335.7998046875,9345.599609375,9345.599609375,46258000
2007-02-20,9358.599609375,9359.2998046875,9273.599609375,9315.2998046875,9315.2998046875,61841800
2007-02-21,9334.099609375,9357.900390625,9197.7001953125,9207.099609375,9207.099609375,76673000
2007-02-22,9239.2001953125,9286.2998046875,9233.400390625,9251.7998046875,9251.7998046875,86077200
2007-02-23,9258.7001953125,9272.400390625,9205.7998046875,9258,9258,75431000
2007-02-26,9243.2001953125,9267,9223,9223,9223,88625200
2007-02-27,9129.7001953125,9135.7998046875,8891.7001953125,8909.7998046875,8909.7998046875,155950000
2007-02-28,8741.7001953125,8862.900390625,8703.7998046875,8789.7001953125,8789.7001953125,168811900
2007-03-01,8785.2998046875,8905.7001953125,8622.099609375,8781.900390625,8781.900390625,247398600
2007-03-02,8843.7001953125,8878.2998046875,8738.400390625,8798.7001953125,8798.7001953125,117170600
2007-03-05,8640.7998046875,8708.099609375,8609.400390625,8676.900390625,8676.900390625,109098700
2007-03-06,8781,8792.2001953125,8691.7998046875,8775.599609375,8775.599609375,166839000
2007-03-07,8798.7998046875,8878.7998046875,8770.900390625,8878.400390625,8878.400390625,95236000
2007-03-08,8904,8966.2001953125,8898.7998046875,8955.7001953125,8955.7001953125,80410600
2007-03-09,8937.7001953125,8964.7001953125,8869.2001953125,8933.900390625,8933.900390625,76883000
2007-03-12,8968.599609375,9000.900390625,8875.400390625,8899.400390625,8899.400390625,59879600
2007-03-13,8900.2998046875,8905.7001953125,8822.7001953125,8829.099609375,8829.099609375,64869800
2007-03-14,8649.2998046875,8690.7001953125,8573.5,8577.7001953125,8577.7001953125,125766300
