"crisis","escenario","cluster","rent_anual","volatilidad","drawdown","correlacion_media"
"covid","A",1,-0.551,0.515,-0.672,0.76
"covid","A",2,0.095,-0.739,0.148,-0.472
"covid","A",3,1.778,1.264,2.023,-0.916
"covid","B",1,0.948,-0.18,0.992,-0.696
"covid","B",2,-2.252,2.168,-1.654,-1.449
"covid","B",3,-0.398,-0.083,-0.481,0.575
"crisis2008","A",1,-1.644,-0.557,-1.151,1.075
"crisis2008","A",2,-0.285,1.316,-0.85,-0.804
"crisis2008","A",3,0.455,-0.616,0.673,0.243
"crisis2008","B",1,-1.644,-0.549,-1.151,1.053
"crisis2008","B",2,-0.285,1.318,-0.85,-0.814
"crisis2008","B",3,0.455,-0.619,0.673,0.253
"crisis2022","A",1,1.06,-0.545,0.998,-0.13
"crisis2022","A",2,-0.495,-0.758,-0.556,-1.028
"crisis2022","A",3,-0.68,0.856,-0.595,0.628
"crisis2022","B",1,0.699,-0.309,0.681,0.115
"crisis2022","B",2,1.056,-1.339,0.974,-2.11
"crisis2022","B",3,-0.856,0.573,-0.822,0.367
