"crisis","indice","n_cambios_A","n_cambios_B"
"covid","000001.SS",1,1
"covid","FTSEMIB.MI",0,0
"covid","^AEX",0,0
"covid","^AXJO",1,1
"covid","^BSESN",1,2
"covid","^BVSP",1,1
"covid","^FCHI",0,0
"covid","^FTSE",1,1
"covid","^GDAXI",0,0
"covid","^GSPC",1,1
"covid","^GSPTSE",1,1
"covid","^HSI",1,2
"covid","^IBEX",1,1
"covid","^JKSE",1,2
"covid","^KS11",0,0
"covid","^MXX",2,2
"covid","^N225",0,0
"covid","^SSMI",0,0
"covid","^TWII",0,0
"crisis2008","000001.SS",2,2
"crisis2008","FTSEMIB.MI",2,2
"crisis2008","^AEX",2,2
"crisis2008","^AXJO",0,0
"crisis2008","^BSESN",0,0
"crisis2008","^BVSP",0,1
"crisis2008","^FCHI",0,0
"crisis2008","^FTSE",0,0
"crisis2008","^GDAXI",0,0
"crisis2008","^GSPC",0,0
"crisis2008","^GSPTSE",0,0
"crisis2008","^HSI",0,0
"crisis2008","^IBEX",0,0
"crisis2008","^JKSE",0,0
"crisis2008","^KS11",1,1
"crisis2008","^MXX",1,0
"crisis2008","^N225",2,2
"crisis2008","^SSMI",0,0
"crisis2008","^TWII",2,2
"crisis2022","000001.SS",1,2
"crisis2022","FTSEMIB.MI",0,0
"crisis2022","^AEX",0,0
"crisis2022","^AXJO",1,1
"crisis2022","^BSESN",1,1
"crisis2022","^BVSP",1,2
"crisis2022","^FCHI",0,0
"crisis2022","^FTSE",1,1
"crisis2022","^GDAXI",0,0
"crisis2022","^GSPC",1,1
"crisis2022","^GSPTSE",1,1
"crisis2022","^HSI",2,2
"crisis2022","^IBEX",1,1
"crisis2022","^JKSE",1,2
"crisis2022","^KS11",1,2
"crisis2022","^MXX",2,2
"crisis2022","^N225",1,0
"crisis2022","^SSMI",1,1
"crisis2022","^TWII",1,1
