"crisis","indice","grupo_A","grupo_B_alineado","coincide","region","desarrollo"
"covid","^GSPC",2,1,FALSE,"America","Desarrollado"
"covid","^GSPTSE",2,1,FALSE,"America","Desarrollado"
"covid","^GDAXI",1,1,TRUE,"Europa","Desarrollado"
"covid","^FCHI",1,1,TRUE,"Europa","Desarrollado"
"covid","^FTSE",1,1,TRUE,"Europa","Desarrollado"
"covid","^IBEX",1,1,TRUE,"Europa","Desarrollado"
"covid","FTSEMIB.MI",1,1,TRUE,"Europa","Desarrollado"
"covid","^SSMI",2,2,TRUE,"Europa","Desarrollado"
"covid","^AEX",1,1,TRUE,"Europa","Desarrollado"
"covid","^N225",2,2,TRUE,"Asia-Pacifico","Desarrollado"
"covid","^HSI",3,2,FALSE,"Asia-Pacifico","Desarrollado"
"covid","^KS11",1,1,TRUE,"Asia-Pacifico","Desarrollado"
"covid","^AXJO",2,2,TRUE,"Asia-Pacifico","Desarrollado"
"covid","^BVSP",1,3,FALSE,"America","Emergente"
"covid","^BSESN",2,1,FALSE,"Asia-Pacifico","Emergente"
"covid","^MXX",2,2,TRUE,"America","Emergente"
"covid","000001.SS",3,2,FALSE,"Asia-Pacifico","Emergente"
"covid","^TWII",2,2,TRUE,"Asia-Pacifico","Emergente"
"covid","^JKSE",2,1,FALSE,"Asia-Pacifico","Emergente"
"crisis2008","^GSPC",3,3,TRUE,"America","Desarrollado"
"crisis2008","^GSPTSE",3,3,TRUE,"America","Desarrollado"
"crisis2008","^GDAXI",3,3,TRUE,"Europa","Desarrollado"
"crisis2008","^FCHI",3,3,TRUE,"Europa","Desarrollado"
"crisis2008","^FTSE",3,3,TRUE,"Europa","Desarrollado"
"crisis2008","^IBEX",3,3,TRUE,"Europa","Desarrollado"
"crisis2008","FTSEMIB.MI",1,1,TRUE,"Europa","Desarrollado"
"crisis2008","^SSMI",3,3,TRUE,"Europa","Desarrollado"
"crisis2008","^AEX",1,1,TRUE,"Europa","Desarrollado"
"crisis2008","^N225",2,2,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2008","^HSI",2,2,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2008","^KS11",3,3,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2008","^AXJO",3,3,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2008","^BVSP",2,2,TRUE,"America","Emergente"
"crisis2008","^BSESN",2,2,TRUE,"Asia-Pacifico","Emergente"
"crisis2008","^MXX",3,3,TRUE,"America","Emergente"
"crisis2008","000001.SS",2,2,TRUE,"Asia-Pacifico","Emergente"
"crisis2008","^TWII",3,3,TRUE,"Asia-Pacifico","Emergente"
"crisis2008","^JKSE",2,2,TRUE,"Asia-Pacifico","Emergente"
"crisis2022","^GSPC",3,3,TRUE,"America","Desarrollado"
"crisis2022","^GSPTSE",1,1,TRUE,"America","Desarrollado"
"crisis2022","^GDAXI",3,3,TRUE,"Europa","Desarrollado"
"crisis2022","^FCHI",3,3,TRUE,"Europa","Desarrollado"
"crisis2022","^FTSE",1,1,TRUE,"Europa","Desarrollado"
"crisis2022","^IBEX",3,1,FALSE,"Europa","Desarrollado"
"crisis2022","FTSEMIB.MI",3,3,TRUE,"Europa","Desarrollado"
"crisis2022","^SSMI",3,3,TRUE,"Europa","Desarrollado"
"crisis2022","^AEX",3,3,TRUE,"Europa","Desarrollado"
"crisis2022","^N225",1,1,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2022","^HSI",3,3,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2022","^KS11",2,3,FALSE,"Asia-Pacifico","Desarrollado"
"crisis2022","^AXJO",1,1,TRUE,"Asia-Pacifico","Desarrollado"
"crisis2022","^BVSP",1,1,TRUE,"America","Emergente"
"crisis2022","^BSESN",1,1,TRUE,"Asia-Pacifico","Emergente"
"crisis2022","^MXX",2,1,FALSE,"America","Emergente"
"crisis2022","000001.SS",2,2,TRUE,"Asia-Pacifico","Emergente"
"crisis2022","^TWII",2,3,FALSE,"Asia-Pacifico","Emergente"
"crisis2022","^JKSE",1,2,FALSE,"Asia-Pacifico","Emergente"
