"crisis","indice","cluster","es_regimen_agudo","n_ventanas","prop_en_fase_aguda","score_tension","centro_rent_anual","centro_volatilidad","centro_drawdown","centro_correlacion"
"crisis2008","^GSPC",1,FALSE,230,0.6565,-2.0728,0.2242,-0.6598,0.5405,-0.6483
"crisis2008","^GSPC",2,TRUE,74,0.7297,6.1795,-1.6386,1.655,-1.7069,1.1789
"crisis2008","^GSPC",3,FALSE,65,0,0.2995,1.0721,0.4504,0.0307,0.9519
"crisis2008","^GSPTSE",1,FALSE,74,0,0.2963,0.9269,0.5383,0.1306,0.8155
"crisis2008","^GSPTSE",2,TRUE,65,0.8308,6.733,-1.9139,1.7715,-1.9777,1.0699
"crisis2008","^GSPTSE",3,FALSE,230,0.6565,-1.9981,0.2427,-0.6738,0.5169,-0.5647
"crisis2008","^GDAXI",1,FALSE,112,0.625,0.6983,-0.0532,0.278,-0.3194,0.0477
"crisis2008","^GDAXI",2,FALSE,187,0.4385,-2.7837,0.6088,-0.7538,0.8128,-0.6083
"crisis2008","^GDAXI",3,TRUE,70,0.7571,6.3194,-1.5411,1.5691,-1.6604,1.5488
"crisis2008","^FCHI",1,TRUE,76,0.7105,5.9385,-1.4082,1.6886,-1.5851,1.2565
"crisis2008","^FCHI",2,FALSE,229,0.4891,-1.0072,0.3764,-0.3118,0.3801,0.0612
"crisis2008","^FCHI",3,FALSE,64,0.6094,-3.4481,0.3253,-0.8895,0.5223,-1.711
"crisis2008","^FTSE",1,FALSE,236,0.4831,-0.9606,0.4153,-0.2802,0.3738,0.1087
"crisis2008","^FTSE",2,TRUE,71,0.7606,6.1164,-1.5114,1.7378,-1.6454,1.2218
"crisis2008","^FTSE",3,FALSE,62,0.5968,-3.3478,0.1501,-0.9233,0.4613,-1.8131
"crisis2008","^IBEX",1,FALSE,155,0.2323,-2.5893,0.8251,-0.6589,0.9969,-0.1084
"crisis2008","^IBEX",2,FALSE,119,1,-0.4824,-0.4149,-0.3404,-0.2407,-0.7977
"crisis2008","^IBEX",3,TRUE,95,0.5263,4.829,-0.8265,1.5015,-1.325,1.176
"crisis2008","FTSEMIB.MI",1,FALSE,63,0,-0.3012,1.2799,0.6422,-0.1476,0.1889
"crisis2008","FTSEMIB.MI",2,TRUE,76,0.7105,5.9536,-1.4264,1.5895,-1.5294,1.4083
"crisis2008","FTSEMIB.MI",3,FALSE,230,0.6565,-1.8848,0.1208,-0.7011,0.5458,-0.5171
