"crisis","indice","ventana","persistencia","fecha_cambio","sesiones_panel_respecto_pico","dias_naturales_respecto_pico","sesiones_mercado_respecto_pico","momento","regimen","duracion_racha","n_ventanas"
"crisis2008","^GSPC",63,5,2008-10-06,151,341,234,"despues",2,72,369
"crisis2008","^GSPTSE",63,5,2008-10-06,151,341,234,"despues",2,65,369
"crisis2008","^GDAXI",63,5,2008-10-08,152,343,237,"despues",3,70,369
"crisis2008","^FCHI",63,5,2008-10-06,151,341,237,"despues",1,76,369
"crisis2008","^FTSE",63,5,2008-10-06,151,341,235,"despues",2,67,369
"crisis2008","^IBEX",63,5,2008-10-16,155,351,244,"despues",3,95,369
"crisis2008","FTSEMIB.MI",63,5,2008-10-06,151,341,234,"despues",2,76,369
"crisis2008","^SSMI",63,5,2008-10-22,158,357,246,"despues",1,67,369
"crisis2008","^AEX",63,5,2008-10-06,151,341,237,"despues",2,72,369
"crisis2008","^N225",63,5,2008-10-16,155,351,235,"despues",1,59,369
"crisis2008","^HSI",63,5,2008-10-06,151,341,229,"despues",3,70,369
"crisis2008","^KS11",63,5,2008-10-16,155,351,243,"despues",2,63,369
"crisis2008","^AXJO",63,5,2008-03-10,48,131,89,"despues",3,24,369
"crisis2008","^BVSP",63,5,2008-10-06,151,341,228,"despues",1,65,369
"crisis2008","^BSESN",63,5,2008-10-27,160,362,244,"despues",2,63,369
"crisis2008","^MXX",63,5,2008-10-06,151,341,234,"despues",3,67,369
"crisis2008","000001.SS",63,5,2008-01-22,30,83,57,"despues",2,184,369
"crisis2008","^TWII",63,5,2008-09-17,144,322,220,"despues",2,70,369
"crisis2008","^JKSE",63,5,2008-10-08,152,343,222,"despues",1,63,369
"covid","^GSPC",63,5,2020-03-09,16,53,35,"despues",1,63,190
"covid","^GSPTSE",63,5,2020-03-09,16,53,36,"despues",2,63,190
"covid","^GDAXI",63,5,2020-03-09,16,53,37,"despues",3,63,190
"covid","^FCHI",63,5,2020-03-09,16,53,37,"despues",1,63,190
"covid","^FTSE",63,5,2020-03-09,16,53,37,"despues",1,63,190
"covid","^IBEX",63,5,2020-03-09,16,53,37,"despues",2,63,190
"covid","FTSEMIB.MI",63,5,2020-03-09,16,53,37,"despues",2,63,190
"covid","^SSMI",63,5,2020-03-09,16,53,37,"despues",1,62,190
"covid","^AEX",63,5,2020-03-09,16,53,37,"despues",3,63,190
"covid","^N225",63,5,2020-03-09,16,53,35,"despues",1,63,190
"covid","^HSI",63,5,2020-03-12,18,56,38,"despues",1,61,190
"covid","^KS11",63,5,2020-03-09,16,53,35,"despues",2,64,190
"covid","^AXJO",63,5,2020-03-11,17,55,38,"despues",3,63,190
"covid","^BVSP",63,5,2020-03-09,16,53,35,"despues",3,63,190
"covid","^BSESN",63,5,2020-03-12,18,56,38,"despues",3,63,190
"covid","^MXX",63,5,2020-03-09,16,53,36,"despues",2,64,190
"covid","000001.SS",63,5,2019-07-16,-78,-184,-125,"antes",3,27,190
"covid","^TWII",63,5,2020-03-09,16,53,29,"despues",2,65,190
"covid","^JKSE",63,5,2020-03-09,16,53,37,"despues",3,64,190
"crisis2022","^GSPC",63,5,2022-03-07,20,62,42,"despues",1,90,264
"crisis2022","^GSPTSE",63,5,2022-05-10,46,126,88,"despues",2,81,264
"crisis2022","^GDAXI",63,5,2022-02-24,18,51,37,"despues",3,109,264
"crisis2022","^FCHI",63,5,2022-03-07,20,62,44,"despues",2,63,264
"crisis2022","^FTSE",63,5,2022-03-07,20,62,44,"despues",3,107,264
"crisis2022","^IBEX",63,5,2022-03-07,20,62,44,"despues",1,63,264
"crisis2022","FTSEMIB.MI",63,5,2022-02-24,18,51,37,"despues",3,107,264
"crisis2022","^SSMI",63,5,2022-02-24,18,51,37,"despues",1,107,264
"crisis2022","^AEX",63,5,2022-03-07,20,62,44,"despues",3,63,264
"crisis2022","^N225",63,5,2022-02-22,17,49,33,"despues",3,63,264
"crisis2022","^HSI",63,5,2022-03-14,23,69,46,"despues",1,59,264
"crisis2022","^KS11",63,5,2022-01-24,9,20,14,"despues",3,120,264
"crisis2022","^AXJO",63,5,2022-05-10,46,126,85,"despues",2,65,264
"crisis2022","^BVSP",63,5,2022-05-10,46,126,86,"despues",1,63,264
"crisis2022","^BSESN",63,5,2022-02-14,13,41,28,"despues",3,96,264
"crisis2022","^MXX",63,5,2022-05-10,46,126,86,"despues",3,77,264
"crisis2022","000001.SS",63,5,2022-03-15,24,70,45,"despues",2,59,264
"crisis2022","^TWII",63,5,2022-04-26,43,112,70,"despues",3,92,264
"crisis2022","^JKSE",63,5,2022-05-10,46,126,80,"despues",2,63,264
