"crisis","indice","ventana","persistencia","fecha_cambio","sesiones_panel_respecto_pico","dias_naturales_respecto_pico","sesiones_mercado_respecto_pico","momento","regimen","duracion_racha","n_ventanas"
"crisis2008","^GSPC",42,5,2008-10-06,151,341,234,"despues",1,77,382
"crisis2008","^GSPTSE",42,5,2008-10-06,151,341,234,"despues",3,51,382
"crisis2008","^GDAXI",42,5,2008-10-08,152,343,237,"despues",1,42,382
"crisis2008","^FCHI",42,5,2008-10-06,151,341,237,"despues",3,77,382
"crisis2008","^FTSE",42,5,2008-10-06,151,341,235,"despues",1,43,382
"crisis2008","^IBEX",42,5,2008-10-08,152,343,238,"despues",1,86,382
"crisis2008","FTSEMIB.MI",42,5,2008-10-06,151,341,234,"despues",2,79,382
"crisis2008","^SSMI",42,5,2008-01-16,28,77,51,"despues",1,40,382
"crisis2008","^AEX",42,5,2008-10-08,152,343,239,"despues",2,41,382
"crisis2008","^N225",42,5,2008-10-08,152,343,230,"despues",1,45,382
"crisis2008","^HSI",42,5,2008-01-22,30,83,56,"despues",2,32,382
"crisis2008","^KS11",42,5,2008-10-16,155,351,243,"despues",2,45,382
"crisis2008","^AXJO",42,5,2008-01-22,30,83,56,"despues",2,36,382
"crisis2008","^BVSP",42,5,2008-10-06,151,341,228,"despues",2,45,382
"crisis2008","^BSESN",42,5,2008-03-03,45,124,85,"despues",1,26,382
"crisis2008","^MXX",42,5,2008-10-06,151,341,234,"despues",2,77,382
"crisis2008","000001.SS",42,5,2007-11-28,12,28,20,"despues",3,182,382
"crisis2008","^TWII",42,5,2008-01-16,28,77,54,"despues",2,18,382
"crisis2008","^JKSE",42,5,2008-10-06,151,341,220,"despues",3,46,382
"covid","^GSPC",42,5,2020-03-09,16,53,35,"despues",2,42,190
"covid","^GSPTSE",42,5,2020-03-09,16,53,36,"despues",2,43,190
"covid","^GDAXI",42,5,2020-03-09,16,53,37,"despues",1,42,190
"covid","^FCHI",42,5,2020-03-09,16,53,37,"despues",3,42,190
"covid","^FTSE",42,5,2020-03-09,16,53,37,"despues",1,42,190
"covid","^IBEX",42,5,2020-03-09,16,53,37,"despues",1,42,190
"covid","FTSEMIB.MI",42,5,2020-03-09,16,53,37,"despues",2,42,190
"covid","^SSMI",42,5,2020-03-09,16,53,37,"despues",3,42,190
"covid","^AEX",42,5,2020-03-09,16,53,37,"despues",3,42,190
"covid","^N225",42,5,2020-03-09,16,53,35,"despues",1,41,190
"covid","^HSI",42,5,2020-03-09,16,53,35,"despues",2,44,190
"covid","^KS11",42,5,2020-03-11,17,55,37,"despues",2,43,190
"covid","^AXJO",42,5,2020-03-11,17,55,38,"despues",3,42,190
"covid","^BVSP",42,5,2020-03-09,16,53,35,"despues",2,42,190
"covid","^BSESN",42,5,2020-03-12,18,56,38,"despues",3,42,190
"covid","^MXX",42,5,2020-03-09,16,53,36,"despues",2,43,190
"covid","000001.SS",42,5,2019-07-16,-78,-184,-125,"antes",1,6,190
"covid","^TWII",42,5,2020-03-12,18,56,32,"despues",2,42,190
"covid","^JKSE",42,5,2020-03-09,16,53,37,"despues",1,44,190
"crisis2022","^GSPC",42,5,2022-03-07,20,62,42,"despues",2,68,264
"crisis2022","^GSPTSE",42,5,2022-06-14,62,161,112,"despues",2,26,264
"crisis2022","^GDAXI",42,5,2022-03-07,20,62,44,"despues",2,39,264
"crisis2022","^FCHI",42,5,2022-02-24,18,51,37,"despues",2,45,264
"crisis2022","^FTSE",42,5,2022-02-24,18,51,37,"despues",3,84,264
"crisis2022","^IBEX",42,5,2022-02-24,18,51,37,"despues",1,70,264
"crisis2022","FTSEMIB.MI",42,5,2022-02-24,18,51,37,"despues",3,84,264
"crisis2022","^SSMI",42,5,2022-02-24,18,51,37,"despues",1,70,264
"crisis2022","^AEX",42,5,2022-02-24,18,51,37,"despues",1,70,264
"crisis2022","^N225",42,5,2022-02-22,17,49,33,"despues",3,41,264
"crisis2022","^HSI",42,5,2022-03-14,23,69,46,"despues",3,38,264
"crisis2022","^KS11",42,5,2022-01-24,9,20,14,"despues",3,95,264
"crisis2022","^AXJO",42,5,2022-06-14,62,161,109,"despues",2,26,264
"crisis2022","^BVSP",42,5,2022-05-10,46,126,86,"despues",1,53,264
"crisis2022","^BSESN",42,5,2022-02-14,13,41,28,"despues",2,75,264
"crisis2022","^MXX",42,5,2022-05-10,46,126,86,"despues",3,42,264
"crisis2022","000001.SS",42,5,2022-03-15,24,70,45,"despues",3,38,264
"crisis2022","^TWII",42,5,2022-03-07,20,62,36,"despues",2,93,264
"crisis2022","^JKSE",42,5,2022-05-10,46,126,80,"despues",1,56,264
"crisis2008","^GSPC",42,10,2008-10-06,151,341,234,"despues",1,77,382
"crisis2008","^GSPTSE",42,10,2008-10-06,151,341,234,"despues",3,51,382
"crisis2008","^GDAXI",42,10,2008-10-08,152,343,237,"despues",1,42,382
"crisis2008","^FCHI",42,10,2008-10-06,151,341,237,"despues",3,77,382
"crisis2008","^FTSE",42,10,2008-10-06,151,341,235,"despues",1,43,382
"crisis2008","^IBEX",42,10,2008-10-08,152,343,238,"despues",1,86,382
"crisis2008","FTSEMIB.MI",42,10,2008-10-06,151,341,234,"despues",2,79,382
"crisis2008","^SSMI",42,10,2008-01-16,28,77,51,"despues",1,40,382
"crisis2008","^AEX",42,10,2008-10-08,152,343,239,"despues",2,41,382
"crisis2008","^N225",42,10,2008-10-08,152,343,230,"despues",1,45,382
"crisis2008","^HSI",42,10,2008-01-22,30,83,56,"despues",2,32,382
"crisis2008","^KS11",42,10,2008-10-16,155,351,243,"despues",2,45,382
"crisis2008","^AXJO",42,10,2008-01-22,30,83,56,"despues",2,36,382
"crisis2008","^BVSP",42,10,2008-10-06,151,341,228,"despues",2,45,382
"crisis2008","^BSESN",42,10,2008-03-03,45,124,85,"despues",1,26,382
"crisis2008","^MXX",42,10,2008-10-06,151,341,234,"despues",2,77,382
"crisis2008","000001.SS",42,10,2007-11-28,12,28,20,"despues",3,182,382
"crisis2008","^TWII",42,10,2008-01-16,28,77,54,"despues",2,18,382
"crisis2008","^JKSE",42,10,2008-10-06,151,341,220,"despues",3,46,382
"covid","^GSPC",42,10,2020-03-09,16,53,35,"despues",2,42,190
"covid","^GSPTSE",42,10,2020-03-09,16,53,36,"despues",2,43,190
"covid","^GDAXI",42,10,2020-03-09,16,53,37,"despues",1,42,190
"covid","^FCHI",42,10,2020-03-09,16,53,37,"despues",3,42,190
"covid","^FTSE",42,10,2020-03-09,16,53,37,"despues",1,42,190
"covid","^IBEX",42,10,2020-03-09,16,53,37,"despues",1,42,190
"covid","FTSEMIB.MI",42,10,2020-03-09,16,53,37,"despues",2,42,190
"covid","^SSMI",42,10,2020-03-09,16,53,37,"despues",3,42,190
"covid","^AEX",42,10,2020-03-09,16,53,37,"despues",3,42,190
"covid","^N225",42,10,2020-03-09,16,53,35,"despues",1,41,190
"covid","^HSI",42,10,2020-03-09,16,53,35,"despues",2,44,190
"covid","^KS11",42,10,2020-03-11,17,55,37,"despues",2,43,190
"covid","^AXJO",42,10,2020-03-11,17,55,38,"despues",3,42,190
"covid","^BVSP",42,10,2020-03-09,16,53,35,"despues",2,42,190
"covid","^BSESN",42,10,2020-03-12,18,56,38,"despues",3,42,190
"covid","^MXX",42,10,2020-03-09,16,53,36,"despues",2,43,190
"covid","000001.SS",42,10,2020-02-04,1,19,7,"despues",1,14,190
