indice,nombre,pais,desarrollo,pct_financiero,pct_energia_materiales,pct_defensivo,capitalizacion,rotacion
^GSPC,S&P 500,EE. UU.,Desarrollado,,,,,
^GSPTSE,S&P/TSX,Canada,Desarrollado,,,,,
^GDAXI,DAX,Alemania,Desarrollado,,,,,
^FCHI,CAC 40,Francia,Desarrollado,,,,,
^FTSE,FTSE 100,Reino Unido,Desarrollado,,,,,
^IBEX,IBEX 35,Espana,Desarrollado,,,,,
FTSEMIB.MI,FTSE MIB,Italia,Desarrollado,,,,,
^SSMI,SMI,Suiza,Desarrollado,,,,,
^AEX,AEX,Paises Bajos,Desarrollado,,,,,
^N225,Nikkei 225,Japon,Desarrollado,,,,,
^HSI,Hang Seng,Hong Kong,Desarrollado,,,,,
^KS11,KOSPI,Corea del Sur,Desarrollado,,,,,
^AXJO,S&P/ASX 200,Australia,Desarrollado,,,,,
^BVSP,Bovespa,Brasil,Emergente,,,,,
^BSESN,Sensex,India,Emergente,,,,,
^MXX,IPC,Mexico,Emergente,,,,,
000001.SS,Shanghai Composite,China,Emergente,,,,,
^TWII,TAIEX,Taiwan,Emergente,,,,,
^JKSE,Yakarta Composite,Indonesia,Emergente,,,,,
