"crisis","indice","cluster"
"covid","^GSPC",3
"covid","^GSPTSE",3
"covid","^GDAXI",3
"covid","^FCHI",3
"covid","^FTSE",3
"covid","^IBEX",3
"covid","FTSEMIB.MI",3
"covid","^SSMI",1
"covid","^AEX",3
"covid","^N225",1
"covid","^HSI",1
"covid","^KS11",3
"covid","^AXJO",1
"covid","^BVSP",2
"covid","^BSESN",3
"covid","^MXX",1
"covid","000001.SS",1
"covid","^TWII",1
"covid","^JKSE",3
"crisis2008","^GSPC",3
"crisis2008","^GSPTSE",3
"crisis2008","^GDAXI",3
"crisis2008","^FCHI",3
"crisis2008","^FTSE",3
"crisis2008","^IBEX",3
"crisis2008","FTSEMIB.MI",1
"crisis2008","^SSMI",3
"crisis2008","^AEX",1
"crisis2008","^N225",2
"crisis2008","^HSI",2
"crisis2008","^KS11",3
"crisis2008","^AXJO",3
"crisis2008","^BVSP",2
"crisis2008","^BSESN",2
"crisis2008","^MXX",3
"crisis2008","000001.SS",2
"crisis2008","^TWII",3
"crisis2008","^JKSE",2
"crisis2022","^GSPC",3
"crisis2022","^GSPTSE",1
"crisis2022","^GDAXI",3
"crisis2022","^FCHI",3
"crisis2022","^FTSE",1
"crisis2022","^IBEX",1
"crisis2022","FTSEMIB.MI",3
"crisis2022","^SSMI",3
"crisis2022","^AEX",3
"crisis2022","^N225",1
"crisis2022","^HSI",3
"crisis2022","^KS11",3
"crisis2022","^AXJO",1
"crisis2022","^BVSP",1
"crisis2022","^BSESN",1
"crisis2022","^MXX",1
"crisis2022","000001.SS",2
"crisis2022","^TWII",3
"crisis2022","^JKSE",2
