"crisis","k","wss","silueta"
"covid",2,45.4175047348471,0.326154848024212
"covid",3,32.6110344302377,0.328389106256623
"covid",4,20.6920349803993,0.310418884663768
"covid",5,13.7801516578055,0.348082497573122
"covid",6,10.1979088711157,0.399389692524608
"covid",7,6.79463018809342,0.41901363562759
"covid",8,4.19440866407609,0.406068902170624
"crisis2008",2,43.0877360699768,0.34764515843305
"crisis2008",3,29.7213354378558,0.400937840037544
"crisis2008",4,18.469225722029,0.404301413916017
"crisis2008",5,14.0711938873318,0.313539287460603
"crisis2008",6,10.8026660349979,0.299061829039208
"crisis2008",7,7.53505461496663,0.329715979255229
"crisis2008",8,5.47515758646499,0.292381016859918
"crisis2022",2,38.9977926334828,0.367107634141797
"crisis2022",3,30.0629564597257,0.323397334045809
"crisis2022",4,22.7304192899634,0.31790613629494
"crisis2022",5,16.8568478979319,0.319268909444723
"crisis2022",6,12.6498062777818,0.314047885055068
"crisis2022",7,9.90595210622581,0.249728532892017
"crisis2022",8,7.51674256797376,0.241736755669949
