"cluster","categoria","n","total_cluster","crisis","variable"
1,"Desarrollado",4,7,"covid","desarrollo"
1,"Emergente",3,7,"covid","desarrollo"
2,"Desarrollado",0,1,"covid","desarrollo"
2,"Emergente",1,1,"covid","desarrollo"
3,"Desarrollado",9,11,"covid","desarrollo"
3,"Emergente",2,11,"covid","desarrollo"
1,"Desarrollado",2,2,"crisis2008","desarrollo"
1,"Emergente",0,2,"crisis2008","desarrollo"
2,"Desarrollado",2,6,"crisis2008","desarrollo"
2,"Emergente",4,6,"crisis2008","desarrollo"
3,"Desarrollado",9,11,"crisis2008","desarrollo"
3,"Emergente",2,11,"crisis2008","desarrollo"
1,"Desarrollado",5,8,"crisis2022","desarrollo"
1,"Emergente",3,8,"crisis2022","desarrollo"
2,"Desarrollado",0,2,"crisis2022","desarrollo"
2,"Emergente",2,2,"crisis2022","desarrollo"
3,"Desarrollado",8,9,"crisis2022","desarrollo"
3,"Emergente",1,9,"crisis2022","desarrollo"
