"cluster","categoria","n","total_cluster","crisis","variable"
1,"America del Norte",0,7,"covid","region"
1,"America Latina",1,7,"covid","region"
1,"Asia meridional",0,7,"covid","region"
1,"Asia oriental",4,7,"covid","region"
1,"Asia sudoriental",0,7,"covid","region"
1,"Europa",1,7,"covid","region"
1,"Oceania",1,7,"covid","region"
2,"America del Norte",0,1,"covid","region"
2,"America Latina",1,1,"covid","region"
2,"Asia meridional",0,1,"covid","region"
2,"Asia oriental",0,1,"covid","region"
2,"Asia sudoriental",0,1,"covid","region"
2,"Europa",0,1,"covid","region"
2,"Oceania",0,1,"covid","region"
3,"America del Norte",2,11,"covid","region"
3,"America Latina",0,11,"covid","region"
3,"Asia meridional",1,11,"covid","region"
3,"Asia oriental",1,11,"covid","region"
3,"Asia sudoriental",1,11,"covid","region"
3,"Europa",6,11,"covid","region"
3,"Oceania",0,11,"covid","region"
1,"America del Norte",0,2,"crisis2008","region"
1,"America Latina",0,2,"crisis2008","region"
1,"Asia meridional",0,2,"crisis2008","region"
1,"Asia oriental",0,2,"crisis2008","region"
1,"Asia sudoriental",0,2,"crisis2008","region"
1,"Europa",2,2,"crisis2008","region"
1,"Oceania",0,2,"crisis2008","region"
2,"America del Norte",0,6,"crisis2008","region"
2,"America Latina",1,6,"crisis2008","region"
2,"Asia meridional",1,6,"crisis2008","region"
2,"Asia oriental",3,6,"crisis2008","region"
2,"Asia sudoriental",1,6,"crisis2008","region"
2,"Europa",0,6,"crisis2008","region"
2,"Oceania",0,6,"crisis2008","region"
3,"America del Norte",2,11,"crisis2008","region"
3,"America Latina",1,11,"crisis2008","region"
3,"Asia meridional",0,11,"crisis2008","region"
3,"Asia oriental",2,11,"crisis2008","region"
3,"Asia sudoriental",0,11,"crisis2008","region"
3,"Europa",5,11,"crisis2008","region"
3,"Oceania",1,11,"crisis2008","region"
1,"America del Norte",1,8,"crisis2022","region"
1,"America Latina",2,8,"crisis2022","region"
1,"Asia meridional",1,8,"crisis2022","region"
1,"Asia oriental",1,8,"crisis2022","region"
1,"Asia sudoriental",0,8,"crisis2022","region"
1,"Europa",2,8,"crisis2022","region"
1,"Oceania",1,8,"crisis2022","region"
2,"America del Norte",0,2,"crisis2022","region"
2,"America Latina",0,2,"crisis2022","region"
2,"Asia meridional",0,2,"crisis2022","region"
2,"Asia oriental",1,2,"crisis2022","region"
2,"Asia sudoriental",1,2,"crisis2022","region"
2,"Europa",0,2,"crisis2022","region"
2,"Oceania",0,2,"crisis2022","region"
3,"America del Norte",1,9,"crisis2022","region"
3,"America Latina",0,9,"crisis2022","region"
3,"Asia meridional",0,9,"crisis2022","region"
3,"Asia oriental",3,9,"crisis2022","region"
3,"Asia sudoriental",0,9,"crisis2022","region"
3,"Europa",5,9,"crisis2022","region"
3,"Oceania",0,9,"crisis2022","region"
