"ticker","primera_fecha","ultima_fecha","n_obs","cubre_2008","cubre_ventanas"
"^GSPC",2007-01-03,2023-12-29,4278,TRUE,NA
"^GSPTSE",2007-01-02,2023-12-29,4266,TRUE,NA
"^GDAXI",2007-01-02,2023-12-29,4312,TRUE,NA
"^FCHI",2007-01-02,2023-12-29,4347,TRUE,NA
"^FTSE",2007-01-02,2023-12-29,4292,TRUE,NA
"^IBEX",2007-01-02,2023-12-29,4341,TRUE,NA
"FTSEMIB.MI",2007-01-02,2023-12-29,4316,TRUE,NA
"^SSMI",2007-01-03,2023-12-29,4265,TRUE,NA
"^AEX",2007-01-02,2023-12-29,4350,TRUE,NA
"^N225",2007-01-04,2023-12-29,4157,TRUE,NA
"^HSI",2007-01-02,2023-12-29,4186,TRUE,NA
"^KS11",2007-01-02,2023-12-28,4194,TRUE,NA
"^AXJO",2007-01-01,2023-12-28,4291,TRUE,NA
"^BVSP",2007-01-02,2023-12-28,4204,TRUE,NA
"^BSESN",2007-01-02,2023-12-29,4174,TRUE,NA
"^MXX",2007-01-02,2023-12-29,4262,TRUE,NA
"000001.SS",2007-01-04,2023-12-29,4129,TRUE,NA
"^TWII",2007-01-02,2023-12-29,4162,TRUE,NA
"^JKSE",2007-01-02,2023-12-29,4134,TRUE,NA
