"crisis","indice","antes","durante","despues","n_cambios"
"covid","^GSPC",1,3,3,1
"covid","^GSPTSE",1,3,3,1
"covid","^GDAXI",3,3,3,0
"covid","^FCHI",3,3,3,0
"covid","^FTSE",3,3,2,1
"covid","^IBEX",3,3,2,1
"covid","FTSEMIB.MI",3,3,3,0
"covid","^SSMI",1,1,1,0
"covid","^AEX",3,3,3,0
"covid","^N225",1,1,1,0
"covid","^HSI",3,1,2,2
"covid","^KS11",3,3,3,0
"covid","^AXJO",2,1,1,1
"covid","^BVSP",2,2,3,1
"covid","^BSESN",2,3,1,2
"covid","^MXX",3,1,2,2
"covid","000001.SS",2,1,1,1
"covid","^TWII",1,1,1,0
"covid","^JKSE",2,3,1,2
"crisis2008","^GSPC",3,3,3,0
"crisis2008","^GSPTSE",3,3,3,0
"crisis2008","^GDAXI",3,3,3,0
"crisis2008","^FCHI",3,3,3,0
"crisis2008","^FTSE",3,3,3,0
"crisis2008","^IBEX",3,3,3,0
"crisis2008","FTSEMIB.MI",3,1,2,2
"crisis2008","^SSMI",3,3,3,0
"crisis2008","^AEX",3,1,3,2
"crisis2008","^N225",3,2,3,2
"crisis2008","^HSI",2,2,2,0
"crisis2008","^KS11",2,3,3,1
"crisis2008","^AXJO",3,3,3,0
"crisis2008","^BVSP",2,2,3,1
"crisis2008","^BSESN",2,2,2,0
"crisis2008","^MXX",3,3,3,0
"crisis2008","000001.SS",1,2,1,2
"crisis2008","^TWII",2,3,2,2
"crisis2008","^JKSE",2,2,2,0
"crisis2022","^GSPC",3,3,1,1
"crisis2022","^GSPTSE",3,1,1,1
"crisis2022","^GDAXI",3,3,3,0
"crisis2022","^FCHI",3,3,3,0
"crisis2022","^FTSE",3,1,1,1
"crisis2022","^IBEX",1,1,3,1
"crisis2022","FTSEMIB.MI",3,3,3,0
"crisis2022","^SSMI",3,3,1,1
"crisis2022","^AEX",3,3,3,0
"crisis2022","^N225",1,1,1,0
"crisis2022","^HSI",2,3,2,2
"crisis2022","^KS11",1,3,1,2
"crisis2022","^AXJO",3,1,1,1
"crisis2022","^BVSP",2,1,2,2
"crisis2022","^BSESN",3,1,1,1
"crisis2022","^MXX",3,1,3,2
"crisis2022","000001.SS",1,2,1,2
"crisis2022","^TWII",1,3,3,1
"crisis2022","^JKSE",3,2,1,2
