"crisis","indice","fecha_umbral","fecha_min","dd_maximo","dias_recuperacion","recuperado"
"crisis2008","^GSPC",2008-01-08,2009-03-05,-0.559,NA,FALSE
"crisis2008","^GSPTSE",2008-01-16,2009-03-05,-0.494,NA,FALSE
"crisis2008","^GDAXI",2008-01-22,2009-03-03,-0.541,NA,FALSE
"crisis2008","^FCHI",2008-01-15,2009-03-03,-0.563,NA,FALSE
"crisis2008","^FTSE",2008-01-15,2009-03-03,-0.477,NA,FALSE
"crisis2008","^IBEX",2008-01-15,2009-03-05,-0.559,NA,FALSE
"crisis2008","FTSEMIB.MI",2008-01-17,2009-03-05,-0.666,NA,FALSE
"crisis2008","^SSMI",2008-01-07,2009-03-03,-0.517,NA,FALSE
"crisis2008","^AEX",2007-11-21,2009-03-05,-0.634,NA,FALSE
"crisis2008","^N225",2007-11-13,2008-10-27,-0.575,NA,FALSE
"crisis2008","^HSI",2007-11-12,2008-10-27,-0.65,NA,FALSE
"crisis2008","^KS11",2007-11-21,2008-10-27,-0.542,273,TRUE
"crisis2008","^AXJO",2008-01-07,2009-03-05,-0.539,NA,FALSE
"crisis2008","^BVSP",2008-01-16,2008-10-27,-0.598,193,TRUE
"crisis2008","^BSESN",2008-01-22,2009-03-05,-0.607,89,TRUE
"crisis2008","^MXX",2007-11-12,2008-10-27,-0.473,211,TRUE
"crisis2008","000001.SS",2007-11-08,2008-11-04,-0.713,NA,FALSE
"crisis2008","^TWII",2007-11-12,2009-01-20,-0.563,183,TRUE
"crisis2008","^JKSE",2008-01-22,2008-10-29,-0.607,216,TRUE
"covid","^GSPC",2020-02-27,2020-03-23,-0.339,25,TRUE
"covid","^GSPTSE",2020-03-09,2020-03-23,-0.374,35,TRUE
"covid","^GDAXI",2020-02-27,2020-03-18,-0.388,63,TRUE
"covid","^FCHI",2020-02-27,2020-03-18,-0.386,77,TRUE
"covid","^FTSE",2020-02-27,2020-03-23,-0.344,72,TRUE
"covid","^IBEX",2020-02-27,2020-03-23,-0.382,NA,FALSE
"covid","FTSEMIB.MI",2020-02-27,2020-03-12,-0.415,85,TRUE
"covid","^SSMI",2020-03-02,2020-03-23,-0.275,28,TRUE
"covid","^AEX",2020-02-27,2020-03-18,-0.358,41,TRUE
"covid","^N225",2020-03-02,2020-03-19,-0.308,53,TRUE
"covid","^HSI",2020-03-09,2020-03-23,-0.249,105,TRUE
"covid","^KS11",2020-03-02,2020-03-19,-0.352,28,TRUE
"covid","^AXJO",2020-02-27,2020-03-23,-0.339,73,TRUE
"covid","^BVSP",2020-02-27,2020-03-23,-0.455,71,TRUE
"covid","^BSESN",2020-03-09,2020-03-23,-0.38,72,TRUE
"covid","^MXX",2020-03-09,2020-03-23,-0.273,78,TRUE
"covid","000001.SS",2020-03-18,2020-03-23,-0.135,49,TRUE
"covid","^TWII",2020-03-12,2020-03-19,-0.281,28,TRUE
"covid","^JKSE",2020-02-27,2020-03-24,-0.374,119,TRUE
"crisis2022","^GSPC",2022-02-22,2022-09-30,-0.252,NA,FALSE
"crisis2022","^GSPTSE",2022-05-11,2022-10-11,-0.175,42,TRUE
"crisis2022","^GDAXI",2022-02-24,2022-09-29,-0.264,42,TRUE
"crisis2022","^FCHI",2022-02-24,2022-09-29,-0.23,42,TRUE
"crisis2022","^FTSE",2022-09-29,2022-10-13,-0.107,25,TRUE
"crisis2022","^IBEX",2022-03-07,2022-09-29,-0.183,42,TRUE
"crisis2022","FTSEMIB.MI",2022-02-24,2022-09-29,-0.277,42,TRUE
"crisis2022","^SSMI",2022-03-07,2022-09-26,-0.22,NA,FALSE
"crisis2022","^AEX",2022-02-24,2022-10-13,-0.213,46,TRUE
"crisis2022","^N225",2022-02-24,2022-03-08,-0.155,14,TRUE
"crisis2022","^HSI",2022-03-02,2022-10-31,-0.411,58,TRUE
"crisis2022","^KS11",2022-02-15,2022-09-30,-0.279,NA,FALSE
"crisis2022","^AXJO",2022-06-14,2022-09-28,-0.146,43,TRUE
"crisis2022","^BVSP",2022-04-26,2022-07-14,-0.201,25,TRUE
"crisis2022","^BSESN",2022-02-24,2022-06-17,-0.161,41,TRUE
"crisis2022","^MXX",2022-05-10,2022-09-30,-0.211,32,TRUE
"crisis2022","000001.SS",2022-03-14,2022-04-26,-0.205,43,TRUE
"crisis2022","^TWII",2022-04-26,2022-10-25,-0.316,106,TRUE
"crisis2022","^JKSE",2023-01-11,2023-03-16,-0.103,NA,FALSE
